"","GC026126","GC026129","GC026123","GC026124","GC026127","GC026130"
"AC005523.2",0,0,7,7,0,0
"AC005523.3",1,3,0,0,0,1
"AC005532.5",0,0,0,0,0,0
"AC005534.6",0,0,0,0,0,0
"AC005534.8",3,5,9,0,0,0
"AC005537.2",1,0,1,0,0,0
"AC005538.1",0,0,0,0,0,0
"AC005538.3",0,0,0,0,0,0
"AC005538.5",0,0,0,0,0,0
"AC005539.2",0,0,0,0,0,0
"AC005540.1",0,0,0,0,0,0
"AC005540.3",19,18,12,14,14,6
"AC005546.2",1,0,0,0,0,0
"AC005549.1",0,0,0,0,0,0
"AC005549.2",0,0,0,0,0,0
"AC005550.3",0,0,0,0,0,0
"AC005550.5",0,0,0,0,0,0
"AC005559.3",0,0,0,0,0,0
"AC005562.1",5,16,11,6,8,4
"AC005562.2",0,0,0,0,0,0
"AC005578.3",1,1,1,1,1,1
"AC005588.2",0,0,0,0,0,0
"AC005592.1",1,1,0,0,0,0
"AC005592.2",3,2,0,0,0,0
"AC005592.3",0,0,0,0,0,0
"AC005593.2",0,3,4,0,0,0
"AC005597.1",0,0,0,0,0,0
"AC005599.1",0,0,0,0,0,0
"AC005606.14",1,2,2,0,3,4
"AC005606.15",0,0,2,0,0,0
"AC005609.16",0,2,1,2,0,0
"AC005609.17",0,0,1,0,2,0
"AC005609.18",0,0,1,3,2,0
"AC005609.19",0,0,0,0,0,0
"AC005609.2",0,0,0,0,0,0
"AC005609.20",0,0,0,6,1,2
"AC005614.3",1,0,0,0,2,0
"AC005614.5",0,0,0,0,0,0
"AC005616.1",0,0,0,0,0,0
"AC005616.2",0,0,0,0,0,0
"AC005618.6",29,40,37,29,37,13
"AC005618.8",0,0,0,0,0,0
"AC005618.9",0,0,0,0,0,0
"AC005621.1",0,0,0,0,0,0
"AC005624.2",0,0,1,0,0,0
"AC005625.1",0,0,0,0,0,0
"AC005626.3",0,0,0,0,0,0
"AC005631.1",0,0,0,0,0,0
"AC005668.1",0,0,0,0,0,0
